clip_id,scene,shot,clip_of,seconds,location,still_used,status,take_file,qc_notes
S01-1A,1,1A,1/1,5,LOC-01,,TODO,,
S01-1B,1,1B,1/1,7,LOC-01,,TODO,,
S01-1C,1,1C,1/1,6,LOC-01,,TODO,,
S01-1D,1,1D,1/1,5,LOC-01,,TODO,,
S01-1E,1,1E,1/1,6,LOC-01,,TODO,,
S01-1F-a,1,1F,1/2,5,LOC-01,,TODO,,
S01-1F-b,1,1F,2/2,4,LOC-01,,TODO,,
S01-1G,1,1G,1/1,8,LOC-01,,TODO,,
S01-1H,1,1H,1/1,5,LOC-01,,TODO,,
S01-1I,1,1I,1/1,3,LOC-01,,TODO,,
S01-1J,1,1J,1/1,6,LOC-01,,TODO,,
S02-2A,2,2A,1/1,8,LOC-02,,TODO,,
S02-2B,2,2B,1/1,7,LOC-02,,TODO,,
S02-2C,2,2C,1/1,5,LOC-02,,TODO,,
S02-2D,2,2D,1/1,4,LOC-02,,TODO,,
S02-2E,2,2E,1/1,6,LOC-02,,TODO,,
S02-2F,2,2F,1/1,5,LOC-02,,TODO,,
S02-2G,2,2G,1/1,6,LOC-02,,TODO,,
S02-2H,2,2H,1/1,8,LOC-02,,TODO,,
S03-3A-a,3,3A,1/2,5,LOC-03 / LOC-10,,TODO,,
S03-3A-b,3,3A,2/2,4,LOC-03 / LOC-10,,TODO,,
S03-3B,3,3B,1/1,8,LOC-03 / LOC-10,,TODO,,
S03-3C,3,3C,1/1,6,LOC-03 / LOC-10,,TODO,,
S03-3D,3,3D,1/1,7,LOC-03 / LOC-10,,TODO,,
S03-3E,3,3E,1/1,4,LOC-03 / LOC-10,,TODO,,
S03-3F-a,3,3F,1/2,5,LOC-03 / LOC-10,,TODO,,
S03-3F-b,3,3F,2/2,4,LOC-03 / LOC-10,,TODO,,
S03-3G,3,3G,1/1,3,LOC-03 / LOC-10,,TODO,,
S03-3H,3,3H,1/1,2,LOC-03 / LOC-10,,TODO,,
S03-3I,3,3I,1/1,8,LOC-03 / LOC-10,,TODO,,
S03-3J,3,3J,1/1,5,LOC-03 / LOC-10,,TODO,,
S03-3K,3,3K,1/1,7,LOC-03 / LOC-10,,TODO,,
S04-4A,4,4A,1/1,6,LOC-03,,TODO,,
S04-4B,4,4B,1/1,8,LOC-03,,TODO,,
S04-4C,4,4C,1/1,7,LOC-03,,TODO,,
S04-4D,4,4D,1/1,4,LOC-03,,TODO,,
S04-4E,4,4E,1/1,4,LOC-03,,TODO,,
S04-4F-a,4,4F,1/2,5,LOC-03,,TODO,,
S04-4F-b,4,4F,2/2,5,LOC-03,,TODO,,
S04-4G,4,4G,1/1,8,LOC-03,,TODO,,
S04-4H,4,4H,1/1,4,LOC-03,,TODO,,
S04-4I,4,4I,1/1,5,LOC-03,,TODO,,
S05-5A,5,5A,1/1,8,LOC-04,,TODO,,
S05-5B,5,5B,1/1,6,LOC-04,,TODO,,
S05-5C-a,5,5C,1/2,5,LOC-04,,TODO,,
S05-5C-b,5,5C,2/2,4,LOC-04,,TODO,,
S05-5D,5,5D,1/1,5,LOC-04,,TODO,,
S05-5E-a,5,5E,1/2,7,LOC-04,,TODO,,
S05-5E-b,5,5E,2/2,7,LOC-04,,TODO,,
S05-5F,5,5F,1/1,6,LOC-04,,TODO,,
S05-5G,5,5G,1/1,5,LOC-04,,TODO,,
S05-5H,5,5H,1/1,8,LOC-04,,TODO,,
S06-6A,6,6A,1/1,8,LOC-03,,TODO,,
S06-6B,6,6B,1/1,7,LOC-03,,TODO,,
S06-6C,6,6C,1/1,6,LOC-03,,TODO,,
S06-6D,6,6D,1/1,6,LOC-03,,TODO,,
S06-6E,6,6E,1/1,4,LOC-03,,TODO,,
S06-6F,6,6F,1/1,6,LOC-03,,TODO,,
S06-6G,6,6G,1/1,5,LOC-03,,TODO,,
S06-6H,6,6H,1/1,4,LOC-03,,TODO,,
S06-6I-a,6,6I,1/2,5,LOC-03,,TODO,,
S06-6I-b,6,6I,2/2,4,LOC-03,,TODO,,
S06-6J,6,6J,1/1,7,LOC-03,,TODO,,
S06-6K,6,6K,1/1,6,LOC-03,,TODO,,
S06-6L,6,6L,1/1,6,LOC-03,,TODO,,
S06-6M,6,6M,1/1,7,LOC-03,,TODO,,
S07-7A,7,7A,1/1,6,LOC-06,,TODO,,
S07-7B,7,7B,1/1,8,LOC-06,,TODO,,
S07-7C,7,7C,1/1,5,LOC-06,,TODO,,
S07-7D,7,7D,1/1,6,LOC-06,,TODO,,
S07-7E-a,7,7E,1/2,8,LOC-06,,TODO,,
S07-7E-b,7,7E,2/2,8,LOC-06,,TODO,,
S07-7F-a,7,7F,1/2,5,LOC-06,,TODO,,
S07-7F-b,7,7F,2/2,4,LOC-06,,TODO,,
S08-8A,8,8A,1/1,7,LOC-04,,TODO,,
S08-8B,8,8B,1/1,6,LOC-04,,TODO,,
S08-8C-a,8,8C,1/2,5,LOC-04,,TODO,,
S08-8C-b,8,8C,2/2,5,LOC-04,,TODO,,
S08-8D,8,8D,1/1,4,LOC-04,,TODO,,
S08-8E-a,8,8E,1/2,7,LOC-04,,TODO,,
S08-8E-b,8,8E,2/2,7,LOC-04,,TODO,,
S08-8F-a,8,8F,1/2,8,LOC-04,,TODO,,
S08-8F-b,8,8F,2/2,8,LOC-04,,TODO,,
S08-8G,8,8G,1/1,5,LOC-04,,TODO,,
S09-9A,9,9A,1/1,5,LOC-04,,TODO,,
S09-9B,9,9B,1/1,7,LOC-04,,TODO,,
S09-9C,9,9C,1/1,7,LOC-04,,TODO,,
S09-9D,9,9D,1/1,6,LOC-04,,TODO,,
S09-9E,9,9E,1/1,7,LOC-04,,TODO,,
S09-9F,9,9F,1/1,7,LOC-04,,TODO,,
S09-9G,9,9G,1/1,8,LOC-04,,TODO,,
S09-9H,9,9H,1/1,8,LOC-04,,TODO,,
S09-9I,9,9I,1/1,8,LOC-04,,TODO,,
S10-10A,10,10A,1/1,8,LOC-07,,TODO,,
S10-10B,10,10B,1/1,7,LOC-07,,TODO,,
S10-10C,10,10C,1/1,6,LOC-07,,TODO,,
S10-10D,10,10D,1/1,6,LOC-07,,TODO,,
S10-10E,10,10E,1/1,6,LOC-07,,TODO,,
S10-10F,10,10F,1/1,6,LOC-07,,TODO,,
S10-10G,10,10G,1/1,5,LOC-07,,TODO,,
S10-10H,10,10H,1/1,3,LOC-07,,TODO,,
S10-10I,10,10I,1/1,6,LOC-07,,TODO,,
S10-10J,10,10J,1/1,8,LOC-07,,TODO,,
S10-10K,10,10K,1/1,7,LOC-07,,TODO,,
S11-11A-a,11,11A,1/2,5,LOC-05,,TODO,,
S11-11A-b,11,11A,2/2,5,LOC-05,,TODO,,
S11-11B,11,11B,1/1,6,LOC-05,,TODO,,
S11-11C,11,11C,1/1,8,LOC-05,,TODO,,
S11-11D,11,11D,1/1,6,LOC-05,,TODO,,
S11-11E-a,11,11E,1/3,8,LOC-05,,TODO,,
S11-11E-b,11,11E,2/3,7,LOC-05,,TODO,,
S11-11E-c,11,11E,3/3,7,LOC-05,,TODO,,
S11-11F,11,11F,1/1,8,LOC-05,,TODO,,
S11-11G,11,11G,1/1,4,LOC-05,,TODO,,
S11-11H,11,11H,1/1,7,LOC-05,,TODO,,
S11-11I-a,11,11I,1/4,7,LOC-05,,TODO,,
S11-11I-b,11,11I,2/4,7,LOC-05,,TODO,,
S11-11I-c,11,11I,3/4,7,LOC-05,,TODO,,
S11-11I-d,11,11I,4/4,7,LOC-05,,TODO,,
S11-11J-a,11,11J,1/2,5,LOC-05,,TODO,,
S11-11J-b,11,11J,2/2,4,LOC-05,,TODO,,
S11-11K,11,11K,1/1,5,LOC-05,,TODO,,
S11-11L-a,11,11L,1/2,7,LOC-05,,TODO,,
S11-11L-b,11,11L,2/2,7,LOC-05,,TODO,,
S12-12A-a,12,12A,1/2,5,LOC-05,,TODO,,
S12-12A-b,12,12A,2/2,4,LOC-05,,TODO,,
S12-12B-a,12,12B,1/2,6,LOC-05,,TODO,,
S12-12B-b,12,12B,2/2,6,LOC-05,,TODO,,
S12-12C,12,12C,1/1,7,LOC-05,,TODO,,
S12-12D,12,12D,1/1,5,LOC-05,,TODO,,
S12-12E-a,12,12E,1/2,5,LOC-05,,TODO,,
S12-12E-b,12,12E,2/2,5,LOC-05,,TODO,,
S12-12F,12,12F,1/1,8,LOC-05,,TODO,,
S12-12G-a,12,12G,1/2,5,LOC-05,,TODO,,
S12-12G-b,12,12G,2/2,4,LOC-05,,TODO,,
S12-12H,12,12H,1/1,8,LOC-05,,TODO,,
S13-13A,13,13A,1/1,6,LOC-05 + LOC-01,,TODO,,
S13-13B-a,13,13B,1/2,5,LOC-05 + LOC-01,,TODO,,
S13-13B-b,13,13B,2/2,5,LOC-05 + LOC-01,,TODO,,
S13-13C,13,13C,1/1,8,LOC-05 + LOC-01,,TODO,,
S13-13D,13,13D,1/1,4,LOC-05 + LOC-01,,TODO,,
S13-13E,13,13E,1/1,1,LOC-05 + LOC-01,,TODO,,
S13-13F,13,13F,1/1,5,LOC-05 + LOC-01,,TODO,,
S13-13G-a,13,13G,1/2,5,LOC-05 + LOC-01,,TODO,,
S13-13G-b,13,13G,2/2,4,LOC-05 + LOC-01,,TODO,,
S14-14A-a,14,14A,1/2,5,LOC-06,,TODO,,
S14-14A-b,14,14A,2/2,4,LOC-06,,TODO,,
S14-14B,14,14B,1/1,7,LOC-06,,TODO,,
S14-14C,14,14C,1/1,8,LOC-06,,TODO,,
S14-14D,14,14D,1/1,4,LOC-06,,TODO,,
S14-14E,14,14E,1/1,7,LOC-06,,TODO,,
S14-14F,14,14F,1/1,7,LOC-06,,TODO,,
S14-14G,14,14G,1/1,6,LOC-06,,TODO,,
S14-14H,14,14H,1/1,6,LOC-06,,TODO,,
S15-15A,15,15A,1/1,8,LOC-06 + LOC-01,,TODO,,
S15-15B,15,15B,1/1,6,LOC-06 + LOC-01,,TODO,,
S15-15C,15,15C,1/1,5,LOC-06 + LOC-01,,TODO,,
S15-15D,15,15D,1/1,8,LOC-06 + LOC-01,,TODO,,
S15-15E,15,15E,1/1,6,LOC-06 + LOC-01,,TODO,,
S15-15F,15,15F,1/1,7,LOC-06 + LOC-01,,TODO,,
S15-15G,15,15G,1/1,5,LOC-06 + LOC-01,,TODO,,
S15-15H-a,15,15H,1/2,7,LOC-06 + LOC-01,,TODO,,
S15-15H-b,15,15H,2/2,6,LOC-06 + LOC-01,,TODO,,
S15-15I,15,15I,1/1,8,LOC-06 + LOC-01,,TODO,,
S15-15J-a,15,15J,1/3,6,LOC-06 + LOC-01,,TODO,,
S15-15J-b,15,15J,2/3,6,LOC-06 + LOC-01,,TODO,,
S15-15J-c,15,15J,3/3,6,LOC-06 + LOC-01,,TODO,,
S15-15K,15,15K,1/1,5,LOC-06 + LOC-01,,TODO,,
S15-15L-a,15,15L,1/2,6,LOC-06 + LOC-01,,TODO,,
S15-15L-b,15,15L,2/2,5,LOC-06 + LOC-01,,TODO,,
S16-16A,16,16A,1/1,6,LOC-06,,TODO,,
S16-16B,16,16B,1/1,7,LOC-06,,TODO,,
S16-16C,16,16C,1/1,5,LOC-06,,TODO,,
S16-16D,16,16D,1/1,8,LOC-06,,TODO,,
S16-16E,16,16E,1/1,6,LOC-06,,TODO,,
S16-16F-a,16,16F,1/3,6,LOC-06,,TODO,,
S16-16F-b,16,16F,2/3,6,LOC-06,,TODO,,
S16-16F-c,16,16F,3/3,6,LOC-06,,TODO,,
S16-16G-a,16,16G,1/2,5,LOC-06,,TODO,,
S16-16G-b,16,16G,2/2,5,LOC-06,,TODO,,
S16-16H,16,16H,1/1,6,LOC-06,,TODO,,
S17-17A-a,17,17A,1/2,6,Concord mind-space (LOC-05 restored),,TODO,,
S17-17A-b,17,17A,2/2,5,Concord mind-space (LOC-05 restored),,TODO,,
S17-17B-a,17,17B,1/2,5,Concord mind-space (LOC-05 restored),,TODO,,
S17-17B-b,17,17B,2/2,4,Concord mind-space (LOC-05 restored),,TODO,,
S17-17C,17,17C,1/1,6,Concord mind-space (LOC-05 restored),,TODO,,
S17-17D-a,17,17D,1/2,7,Concord mind-space (LOC-05 restored),,TODO,,
S17-17D-b,17,17D,2/2,7,Concord mind-space (LOC-05 restored),,TODO,,
S17-17E,17,17E,1/1,8,Concord mind-space (LOC-05 restored),,TODO,,
S17-17F-a,17,17F,1/3,7,Concord mind-space (LOC-05 restored),,TODO,,
S17-17F-b,17,17F,2/3,7,Concord mind-space (LOC-05 restored),,TODO,,
S17-17F-c,17,17F,3/3,6,Concord mind-space (LOC-05 restored),,TODO,,
S17-17G,17,17G,1/1,8,Concord mind-space (LOC-05 restored),,TODO,,
S17-17H-a,17,17H,1/2,8,Concord mind-space (LOC-05 restored),,TODO,,
S17-17H-b,17,17H,2/2,8,Concord mind-space (LOC-05 restored),,TODO,,
S17-17I-a,17,17I,1/2,6,Concord mind-space (LOC-05 restored),,TODO,,
S17-17I-b,17,17I,2/2,5,Concord mind-space (LOC-05 restored),,TODO,,
S17-17J,17,17J,1/1,6,Concord mind-space (LOC-05 restored),,TODO,,
S18-18A-a,18,18A,1/2,5,LOC-10,,TODO,,
S18-18A-b,18,18A,2/2,5,LOC-10,,TODO,,
S18-18B-a,18,18B,1/2,5,LOC-10,,TODO,,
S18-18B-b,18,18B,2/2,4,LOC-10,,TODO,,
