clip_id,scene,shot,clip_of,seconds,location,prompt
S01-1A,1,1A,1/1,5,LOC-01,"ECU, eye, 85mm, locked-off, no camera movement. Black frame resolving into a single red alarm gyro reflected in a young man's wet eye; the pupil contracts as the light sweeps past. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: single rotating red gyro, everything else black. Audio: 38Hz sub-bass; distant klaxon; Amara V.O. 'Anchor before you build.'. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1B,1,1B,1/1,7,LOC-01,"EWS, extreme high, looking straight down the shaft, 21mm, slow crane descent. Reveal of the 60m brass-ringed containment shaft plunging 200m; sixty Corps personnel evacuating four levels of catwalk; steam venting; crystal filament veining the concrete. Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber sodium work lamps, spinning red gyros, a growing white glow from the base. Effect: full CG shaft extension below level 4; crystal filament growth; volumetric steam. Audio: klaxons, hydraulics, running boots, hum rising. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1C,1,1C,1/1,6,LOC-01,"MS, low, handheld, 32mm, tracking backwards ahead of subject. Cadet Arjun shoulders upstream through the evacuating crowd, hauling himself up a ladder against the flow. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber practicals raking, red gyro strobing across his face. Effect: atmospheric only. Audio: crowd, metal, his breathing loud in the mix. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1D,1,1D,1/1,5,LOC-01,"WS, slightly high, Arjun's POV, 40mm, handheld settle. Dev pinned beneath a collapsed brass containment arm on the level-3 catwalk, entirely calm, oxblood cloak spread in the steam. Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber key from below, white bloom edge-lighting his right side. Effect: CG containment arm; sparks; the white bloom glow. Audio: the hum takes over the mix. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1E,1,1E,1/1,6,LOC-01,"CU, eye, slight low, 75mm, locked-off, no camera movement. Dev: 'Cadet. Go up.' Perfect calm. A steam vent blows past behind him. Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber key, hard shadow, white rim growing. Effect: steam element. Audio: dialogue dry and close against the enormous room tone. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1F-a,1,1F,1/2,5,LOC-01,"MS 2-shot, eye, 50mm, slow push in. Arjun kneeling at the rail above Dev; the argument; the shaft lurches and dust falls between them. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber, red gyro passing every 2s. Effect: debris, dust fall. Audio: structural groan under dialogue. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 1 of 2. Begin the described action; end the clip mid-movement, not on a settle. Use the final frame of part 0 as the starting reference so the move is unbroken.)"
S01-1F-b,1,1F,2/2,4,LOC-01,"MS 2-shot, eye, 50mm, slow push in. Arjun kneeling at the rail above Dev; the argument; the shaft lurches and dust falls between them. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Dev in 2059 (46, tall broad South Indian man, grey beard, BOTH eyes human brown, NO crystal anywhere, brass-bronze cuirass, bronze gorget, heavy oxblood cloak, wedding band ON HIS HAND). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber, red gyro passing every 2s. Effect: debris, dust fall. Audio: structural groan under dialogue. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles. (Continuous shot, part 2 of 2. Complete the described action and settle on the final beat. Use the final frame of part 1 as the starting reference so the move is unbroken.)"
S01-1G,1,1G,1/1,8,LOC-01,"WS, low, looking down the shaft past the catwalk, 25mm, slow tilt down. The white bloom being born at the base of the shaft — not fire; a soundless, patient, gentle white expansion rising ring by ring. Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: the bloom is the only source; everything silhouettes. Effect: the Bloom: a non-turbulent, slow, glassy white expansion, no flame, no smoke, consuming catwalks silently. Audio: ALL SOUND DUCKS to a single sustained 38Hz tone. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1H,1,1H,1/1,5,LOC-01,"CU, eye, 50mm, handheld. Arjun looks at the bloom, at Dev, at the lever. Decision lands on his face. Cadet Arjun (20, same face as Arjun but younger, CLEAN-SHAVEN, NO grey streak, short neat black hair, charcoal cadet suit with a brass half-plate on the LEFT shoulder only). Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: white bloom key from below, amber fill dying. Effect: interactive white light on skin. Audio: heartbeat only. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
S01-1I,1,1I,1/1,3,LOC-01,"insert, eye, level with the lever, 40mm macro, whip-focus rack. The brass containment ring lever, red-painted grip, chest height, 40m of catwalk away, going out of focus then sharp. Setting: a 60m-wide industrial containment shaft 200m deep, brass containment rings, crystal growing through cracked concrete, four levels of catwalk, amber work lamps and spinning red alarm gyros. 14:12, 3 Aug 2059, interior / emergency state. Light: amber practical, white spill. Audio: a single metallic chime. Photoreal live-action cinema, 2.39:1 anamorphic widescreen, fine 35mm grain, naturalistic skin, practical lighting, no CGI gloss. Avoid: on-screen text, subtitles, watermarks, HUD or UI graphics, comic-book styling, capes, masks on the hero, glossy 3D-render look, extra fingers, changing hairstyles."
